id,name,capacity,grass,city,state,zip,country_code,location,elevation,year_constructed,dome,location/x,location/y
3873,Papa John's Cardinal Stadium,55000,FALSE,Louisville,KY,40292,US,,138.5615997,1998,FALSE,38.2057621,-85.7588141
3874,Paul Brown Stadium,66515,FALSE,Cincinnati,OH,,US,,146.3,2000,FALSE,,
3608,Paulson Stadium,24300,FALSE,Statesboro,GA,30460,US,,61.25376892,1984,FALSE,32.4122471,-81.7849296
3876,Peden Stadium,24000,FALSE,Athens,OH,45701,US,,194.230896,1929,FALSE,39.3212794,-82.1034315
3878,Plaster Sports Complex,17500,,Springfield,MO,,US,,402.368103,1941,FALSE,37.1976229,-93.2798119
3881,Princeton University Stadium,27800,,Princeton,NJ,,US,,32.00296402,1998,FALSE,40.3457928,-74.6500047
3485,Providence Park,19566,,Portland,OR,,US,,23.84255791,1926,FALSE,45.5215978,-122.6916811
3882,Provost Umphrey Stadium,16000,,Beaumont,TX,,US,,3.981505394,1964,FALSE,30.04313,-94.069963
3932,Qualcomm Stadium,70561,FALSE,San Diego,CA,92108,US,,16.28476334,1967,FALSE,32.7831122,-117.1195716
3886,Raymond James Stadium,65857,FALSE,Tampa,FL,33620,US,,11.07972908,1998,FALSE,27.9758691,-82.5033344
3889,Reinhart Field,3500,,Bronx,NY,,US,,7,2012,FALSE,,
3892,Rentschler Field,40000,FALSE,East Hartford,CT,6118,US,,6.515614986,2003,FALSE,41.7595675,-72.6187728
3893,Reser Stadium,45674,FALSE,Corvallis,OR,97331,US,,66.90744781,1953,FALSE,44.5594559,-123.2814341
3491,RFK Stadium,45596,,Washington,DC,,US,,3.029993296,1961,FALSE,38.88981,-76.971809
3894,Rhodes Stadium,11250,,Elon,NC,,US,,204.2487793,2001,FALSE,36.1101269,-79.5079979
587,Rice-Eccles Stadium,45807,FALSE,Salt Lake City,UT,84112,US,,1411.543579,1998,FALSE,40.7599724,-111.8488255
3895,Rice Stadium,47000,FALSE,Houston,TX,77251,US,,7.148301601,1950,FALSE,29.7163297,-95.4093261
3896,Rice-Totten Field,10000,,Itta Bena,MS,,US,,39.88368607,1958,FALSE,33.5118304,-90.3397718
3897,Richardson Stadium,6000,,Davidson,NC,,US,,249.4658203,1923,FALSE,35.4995744,-80.8428419
453,Robertson Stadium,32000,FALSE,Houston,TX,77004,US,,9.6,1942,FALSE,,
3905,Romney Stadium,25513,FALSE,Logan,UT,84322,US,,1427.914429,1968,FALSE,41.7517394,-111.8116007
3906,Roos Field,8600,,Cheney,WA,,US,,750.2774658,1967,FALSE,47.49278,-117.587353
1056,Rose Bowl,92542,FALSE,Pasadena,CA,90095,US,,245.1772461,1922,FALSE,34.1613284,-118.1676462
3907,Ross-Ade Stadium,57236,FALSE,West Lafayette,IN,47907,US,,197.5337677,1924,FALSE,40.4352253,-86.9186843
3908,Roy Kidd Stadium,20000,FALSE,Richmond,KY,40475,US,,298.1834717,1969,FALSE,37.7344109,-84.2972854
3909,Roy Stewart Stadium,16800,,Murray,KY,,US,,152.6495667,1973,FALSE,36.6215165,-88.3175531
3911,Ryan Field,47130,FALSE,Evanston,IL,60208,US,,181.2376099,1926,FALSE,42.0653994,-87.6924751
3912,Rynearson Stadium,30200,FALSE,Ypsilanti,MI,48197,US,,241.248764,1969,FALSE,42.256126,-83.647285
3913,Saluki Stadium,15276,,Carbondale,IL,,US,,126.7586365,2010,FALSE,37.708637,-89.216212
3914,Sam Boyd Stadium,36800,FALSE,Whitney,NV,89154,US,,490.0622253,1971,FALSE,36.085935,-115.01731
3917,Sanford Stadium,92746,FALSE,Athens,GA,30602,US,,186.1120758,1929,FALSE,33.9498197,-83.3733813
3919,Scheumann Stadium,22500,FALSE,Muncie,IN,47306,US,,285.481781,1967,FALSE,40.2159422,-85.4161148
3921,Schoellkopf Field,25597,,Ithaca,NY,,US,,257.3187561,1915,FALSE,42.4439016,-76.4785398
3923,Scott Stadium,61500,FALSE,Charlottesville,VA,22904,US,,170.4677429,1931,FALSE,38.0311801,-78.5137897
3925,Seibert Stadium,6700,FALSE,Homewood,AL,35229,US,,208.0207825,1958,FALSE,33.463273,-86.795326
3926,Setzler Field,4000,,Newberry,SC,,US,,160.5950775,1922,FALSE,34.286133,-81.622539
3928,Shotwell Stadium,15075,,Abilene,TX,,US,,530.4555664,1959,FALSE,32.4336917,-99.6986246
3674,Skelly Field at H. A. Chapman Stadium,30000,FALSE,Tulsa,OK,74194,US,,235.5928345,1930,FALSE,36.1489175,-95.9437853
3933,Soldier Field,61500,TRUE,Chicago,IL,60605,US,,177.420578,1924,FALSE,41.8625,-87.616667
3761,Sonny Lubick Field at Hughes Stadium,34400,FALSE,Fort Collins,CO,80526,US,,1574.920898,1968,FALSE,40.5621183,-105.1416248
3935,Spartan Stadium,30456,FALSE,San Jose,CA,95112,US,,28.30708694,1933,FALSE,37.3196675,-121.8682962
3936,Spartan Stadium,75005,FALSE,East Lansing,MI,48824,US,,254.8794861,1923,FALSE,42.7281474,-84.4848526
4416,Spec Martin Municipal Stadium,6000,,DeLand,FL,,US,,14.65544891,1941,FALSE,29.0208575,-81.2993746
3937,Sports Authority Field at Mile High,76273,TRUE,Denver,CO,80204,US,,1583.532593,2001,FALSE,39.743889,-105.02
844,Stambaugh Stadium,20650,,Youngstown,OH,,US,,298.8893127,1982,FALSE,41.1092964,-80.6501885
3940,Stanford Stadium,50424,FALSE,Stanford,CA,94305,US,,18.38425636,2006,FALSE,37.4345556,-122.1611271
5263,Steele Stadium,3000,,Owensboro,KY,,US,,122.5809097,2004,FALSE,37.742297,-87.119976
3716,"Stewart """"Red"""" Faught Stadium",4000,,Franklin,IN,,US,,222.7,1999,FALSE,,
3942,Stewart Stadium,17000,,Ogden,UT,,US,,1451.553711,1966,FALSE,41.1918741,-111.9401391
3944,Strawberry Stadium,7408,,Hammond,LA,,US,,13.7104578,1936,FALSE,30.5110264,-90.4685792
538,StubHub Center,0,FALSE,Carson,CA,,US,,,,,,
3768,Summa Field at InfoCision Stadium,30000,FALSE,Akron,OH,44399,US,,321.2875061,2009,FALSE,41.0725534,-81.5083408
3946,Sun Bowl Stadium,51500,FALSE,El Paso,TX,79968,US,,1183.697876,1963,FALSE,31.7733353,-106.507957
3947,Sun Devil Stadium,56232,FALSE,Tempe,AZ,85287,US,,360.1569519,1958,FALSE,33.4264471,-111.9325005
