,abbreviation,alt_color,color,conference,division,logos,mascot,school
683,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2846.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2846.png']",Wolverines,Wesley College
684,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2695.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2695.png']",Tigers,West Alabama
685,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/223.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/223.png']",Golden Rams,West Chester
686,WCU,#bf9e70,#492F91,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2717.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2717.png']",Catamounts,Western Carolina
687,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2843.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2843.png']",Colonials,Western Connecticut State
688,WIU,#ffc90a,#4e1e8a,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2710.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2710.png']",Leathernecks,Western Illinois
689,WKU,#b3b5b8,#F32026,Conference USA,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/98.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/98.png']",Hilltoppers,Western Kentucky
690,WMU,#bfa979,#B59966,Mid-American,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2711.png']",Broncos,Western Michigan
691,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2702.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2702.png']",Golden Bears,Western New England
692,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2703.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2703.png']",Mustangs,Western New Mexico
693,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2848.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2848.png']",Wolves,Western Oregon
694,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2714.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2714.png']",Mountaineers,Western State
695,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2847.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2847.png']",Vikings,Western Washington
696,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2909.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2909.png']",Owls,Westfield State
697,,,,,,,Argonauts,West Florida
698,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2698.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2698.png']",Wolves,West Georgia
699,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2699.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2699.png']",Hilltoppers,West Liberty
700,WMN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/433.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/433.png']",Blue Jays,Westminster
701,WMN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2849.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2849.png']",Titans,Westminster PA
702,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2704.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2704.png']",Buffaloes,West Texas A&M
703,WVU,#eaaa00,#FFC600,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/277.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/277.png']",Mountaineers,West Virginia
704,WVT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2706.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2706.png']",Golden Bears,West Virginia Tech
705,WHE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/396.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/396.png']",Thunder,Wheaton College (Ill)
706,WHI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2850.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2850.png']",Poets,Whittier
707,WHI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2721.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2721.png']",Pirates,Whitworth
708,WID,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2725.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2725.png']",Pride,Widener
709,WIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/398.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/398.png']",Colonels,Wilkes
710,WIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2930.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2930.png']",Bearcats,Willamette
711,WJC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2911.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2911.png']",Cardinals,William Jewell College
712,W&M,#f6b220,#103217,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2729.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2729.png']",Tribe,William & Mary
713,WMP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2970.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2970.png']",Pioneers,William Paterson
714,WIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2912.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2912.png']",Statesmen,William Penn
715,WIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2731.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2731.png']",Ephs,Williams
716,WIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3130.png']",Mechanics,Williamson Trade
717,WIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2733.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2733.png']",Quakers,Wilmington (OH)
718,WIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/351.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/351.png']",Bulldogs,Wingate
719,WIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2851.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2851.png']",Warriors,Winona State
720,WSSU,,#bb0100,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2736.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2736.png']",Rams,Winston-Salem
721,WIS,#f7f7f7,#A00001,Big Ten,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/275.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/275.png']",Badgers,Wisconsin
722,WIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2738.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2738.png']",Blugolds,Wisconsin-Eau Claire
723,WIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2740.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2740.png']",Eagles,Wisconsin-La Crosse
724,WIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2741.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2741.png']",Warriors,Wisconsin Lutheran
725,WIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/272.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/272.png']",Pioneers,Wisconsin-Platteville
726,WIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2743.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2743.png']",Pointers,Wisconsin-Stevens Point
727,WIT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2746.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2746.png']",Tigers,Wittenberg
728,WOF,#f0f0f0,#533B23,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2747.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2747.png']",Terriers,Wofford
729,WOO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2748.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2748.png']",Fighting Scots,Wooster
730,WPI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2749.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2749.png']",Engineers,Worcester Polytechnic
731,WOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/402.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/402.png']",Lancers,Worcester State College
732,WRST,#e2b629,#a36209,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2750.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2750.png']",Raiders,Wright State University
733,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2707.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2707.png']",Yellow Jackets,WV State
734,WVW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/455.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/455.png']",Bobcats,WV Wesleyan
735,WYO,#ffffff,#533B22,Mountain West,Mountain,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2751.png']",Cowboys,Wyoming
