,abbreviation,alt_color,color,conference,division,logos,mascot,school
302,UK,#ffffff,#005DAA,SEC,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/96.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/96.png']",Wildcats,Kentucky
303,KYS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2310.png']",Thorobreds,Kentucky State
304,KYW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2316.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2316.png']",Panthers,Kentucky Wesleyan
305,KEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/352.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/352.png']",Lords,Kenyon
306,KIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/247.png']",Monarchs,King's College (PA)
307,KUT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2315.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2315.png']",Golden Bears,Kutztown
308,LAF,#a59474,#790000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/322.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/322.png']",Leopards,Lafayette
309,LAG,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/548.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/548.png']",Panthers,LaGrange College
310,LKE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/437.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/437.png']",Storm,Lake Erie College
311,LAK,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/262.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/262.png']",Foresters,Lake Forest
312,LAM,#ebebeb,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2320.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2320.png']",Cardinals,Lamar
313,LAM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2321.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2321.png']",Eagles,Lambuth
314,LAN,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2324.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2324.png']",Lions,Langston
315,LAV,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2318.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2318.png']",Leopards,La Verne
316,LAW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/268.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/268.png']",Vikings,Lawrence
317,LEB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/388.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/388.png']",Flying Dutchmen,Lebanon Valley
318,LEH,#b69e70,#6c2b2a,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2329.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2329.png']",Mountain Hawks,Lehigh
319,LEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2331.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2331.png']",Bears,Lenoir-Rhyne
320,LEW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2333.png']",Pioneers,Lewis & Clark
321,LIB,#a61f21,#071740,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2335.png']",Flames,Liberty
322,LIM,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2336.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2336.png']",Saints,Limestone
323,LIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2876.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2876.png']",Blue Tigers,Lincoln (MO)
324,LIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2339.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2339.png']",Lions,Lincoln (PA)
325,LIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2815.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2815.png']",Lions,Lindenwood
326,LIND,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3209.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3209.png']",Lynx,Lindenwood Belleville
327,LIN,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2877.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2877.png']",Blue Raiders,Lindsey Wilson
328,LIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/203.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/203.png']",Wildcats,Linfield
329,LIU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2089.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2089.png']",Pioneers,LIU Post
330,LVI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2940.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2940.png']",Blue Bears,Livingstone
331,LOC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/209.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/209.png']",Bald Eagles,Lock Haven
332,ULL,,#ce2842,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/309.png']",Ragin' Cajuns,Louisiana
333,LAC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2347.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2347.png']",Wildcats,Louisiana College
334,ULM,#b18445,#231F20,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2433.png']",Warhawks,Louisiana Monroe
335,LT,#d3313a,#002d65,Conference USA,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2348.png']",Bulldogs,Louisiana Tech
336,LOU,#cccccc,#ad000a,ACC,Atlantic,"['http://a.espncdn.com/i/teamlogos/ncaa/500/97.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/97.png']",Cardinals,Louisville
337,LSU,#fdd023,#22005c,SEC,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",Tigers,LSU
338,LUT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/67.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/67.png']",Norse,Luther
339,LYC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2354.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2354.png']",Warriors,Lycoming
340,MAC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2359.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2359.png']",Scots,Macalester
341,MAC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/273.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/273.png']",Highlanders,MacMurray College
342,MAINE,,#127dbe,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/311.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/311.png']",Black Bears,Maine
343,MAI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/274.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/274.png']",Mariners,Maine Maritime
344,MAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/556.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/556.png']",Pioneers,Malone
345,MAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2362.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2362.png']",Spartans,Manchester
346,MAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2770.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2770.png']",Bisons,Manitoba
347,MAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2365.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2365.png']",Mountaineers,Mansfield
348,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/421.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/421.png']",Crusaders,Maranatha Baptist College
349,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2366.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2366.png']",Knights,Marian
350,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/317.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/317.png']",Pioneers,Marietta
351,MRST,#f0f0f0,#e53730,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2368.png']",Red Foxes,Marist
352,MRSH,#be854c,#186329,Conference USA,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/276.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/276.png']",Thundering Herd,Marshall
353,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2369.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2369.png']",Lions,Mars Hill
354,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/446.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/446.png']",Knights,Martin Luther College
355,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2371.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2371.png']",Crusaders,Mary Hardin-Baylor
356,MD,#ffcd00,#D5002B,Big Ten,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/120.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/120.png']",Terrapins,Maryland
357,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2373.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2373.png']",Fighting Scots,Maryville TN
358,MAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/110.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/110.png']",Buccaneers,Mass Maritime
359,MAY,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/561.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/561.png']",Comets,Mayville State
360,MCD,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2700.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2700.png']",Terrors,McDaniel College
361,MCM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/241.png']",War Hawks,McMurry
362,MCNS,,#00529C,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2377.png']",Cowboys,McNeese
363,MEM,#231f20,#002447,American Athletic,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']",Tigers,Memphis
364,MEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2381.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2381.png']",Oaks,Menlo
365,MER,#080808,#ff7f29,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",Bears,Mercer
366,MER,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2383.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2383.png']",Mariners,Merchant Marine
367,MER,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2385.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2385.png']",Lakers,Mercyhurst
368,MER,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2771.png']",Warriors,Merrimack
369,MTH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/291.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/291.png']",Monarchs,Methodist
370,MIAMI,#f0f0f0,#004325,ACC,Coastal,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']",Hurricanes,Miami
371,M-OH,#f0f0f0,#a4000c,Mid-American,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/193.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/193.png']",RedHawks,Miami (OH)
372,MICH,#ffcb05,#00274c,Big Ten,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png']",Wolverines,Michigan
373,MSU,#ffffff,#18453B,Big Ten,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/127.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png']",Spartans,Michigan State
374,MIC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2392.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2392.png']",Huskies,Michigan Tech
375,MID,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2394.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2394.png']",Panthers,Middlebury
376,MTSU,#c3c5c8,#0079C2,Conference USA,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2393.png']",Blue Raiders,Middle Tennessee
377,MID,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/565.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/565.png']",Warriors,Midland University
378,MID,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2395.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2395.png']",Mustangs,Midwestern State
379,MIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2396.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2396.png']",Golden Bears,Miles
380,MIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/210.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/210.png']",Marauders,Millersville
381,MIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/74.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/74.png']",Big Blue,Millikin
382,MIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2398.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2398.png']",Majors,Millsaps
383,MINN,#7a0019,#7F011B,Big Ten,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/135.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png']",Golden Gophers,Minnesota
384,MIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2772.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2772.png']",Golden Eagles,Minnesota-Crookston
385,MNDU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/134.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/134.png']",Bulldogs,Minnesota-Duluth
386,MIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2399.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2399.png']",Cougars,Minnesota-Morris
387,MNST,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2364.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2364.png']",Mavericks,Minnesota State
388,MOO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2817.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2817.png']",Dragon,Minnesota St-Moorhead
389,MIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/568.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/568.png']",Beavers,Minot State
390,MISC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2969.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2969.png']",Cougars,Misericordia
391,MIS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2401.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2401.png']",Choctaws,Mississippi College
392,MSST,#c8c8c8,#762123,SEC,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/344.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/344.png']",Bulldogs,Mississippi State
393,MVSU,#cf2d34,#005328,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2400.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2400.png']",Delta Devils,Mississippi Valley State
394,MIZ,#000000,#000000,SEC,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/142.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/142.png']",Tigers,Missouri
395,MB,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2880.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2880.png']",Spartans,Missouri Baptist
396,MOS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2403.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2403.png']",Lions,Missouri Southern State
397,S&T,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2402.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2402.png']",Miners,Missouri S&T
398,MOST,#e8e8e8,#5F0000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2623.png']",Bears,Missouri State
399,MOW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/137.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/137.png']",Griffons,Missouri Western
400,MONM,,#051844,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2405.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2405.png']",Hawks,Monmouth
401,MON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2919.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2919.png']",Fighting Scots,Monmouth (IL)
402,MONT,#666666,#751D4A,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/149.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/149.png']",Grizzlies,Montana
403,MTST,#bf965c,#003875,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/147.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/147.png']",Bobcats,Montana State
404,MWST,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2701.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2701.png']",Bulldogs,Montana-Western
405,MON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2818.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2818.png']",Red Hawks,Montclair State
406,MON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3100.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3100.png']",Rams,Monterrey Tech
407,MOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/323.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/323.png']",Greyhounds,Moravian
408,MORE,#fed91a,#094FA3,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2413.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2413.png']",Eagles,Morehead State
409,MOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/60.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/60.png']",Tigers,Morehouse
410,MORG,#f47937,#014786,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2415.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2415.png']",Bears,Morgan State
411,MAO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2416.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2416.png']",Chiefs,Morningside
412,MOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3110.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3110.png']",Mustangs,Morrisville State
413,MOU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/481.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/481.png']",Mustangs,Mount Ida College
414,MTS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2419.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2419.png']",Lions,Mount St. Joseph
415,MTU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/426.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/426.png']",Raiders,Mount Union
416,MUH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2422.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2422.png']",Mules,Muhlenberg
417,MURR,#000e00,#002148,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/93.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/93.png']",Racers,Murray State
418,MUS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/332.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/332.png']",Muskies,Muskingum
419,NAVY,#b6a77c,#131630,American Athletic,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2426.png']",Midshipmen,Navy
420,NCST,#231f20,#EF1216,ACC,Atlantic,"['http://a.espncdn.com/i/teamlogos/ncaa/500/152.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/152.png']",Wolfpack,NC State
421,UNCW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/286.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/286.png']",Battling Bishops,NC Wesleyan
422,NEB,#f5f1e7,#F20017,Big Ten,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/158.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/158.png']",Cornhuskers,Nebraska
423,NEB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2438.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2438.png']",Lopers,Nebraska-Kearney
424,UNO,,#e3193e,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2437.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2437.png']",Mavericks,Nebraska-Omaha
425,NEV,#8e9295,#153E5F,Mountain West,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2440.png']",Wolf Pack,Nevada
426,NBY,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2444.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2444.png']",Wolves,Newberry
427,UNH,#c3c4c6,#004990,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/160.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/160.png']",Wildcats,New Hampshire
428,NH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2441.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2441.png']",Chargers,New Haven
429,UNM,#231f20,#000000,Mountain West,Mountain,"['http://a.espncdn.com/i/teamlogos/ncaa/500/167.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/167.png']",Lobos,New Mexico
430,NMH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2424.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2424.png']",Cowboys,New Mexico Highlands
431,NMSU,#000000,#891216,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/166.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/166.png']",Aggies,New Mexico State
432,NICH,#f0f0f0,#C41230,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2447.png']",Colonels,Nicholls
433,NIC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2884.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2884.png']",Bison,Nichols
434,NSU,,#046546,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2450.png']",Spartans,Norfolk State
435,NOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2453.png']",Lions,North Alabama
436,UNC,#13294b,#99bfe5,ACC,Coastal,"['http://a.espncdn.com/i/teamlogos/ncaa/500/153.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/153.png']",Tar Heels,North Carolina
437,NCAT,#004684,#0505aa,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2448.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2448.png']",Aggies,North Carolina A&T
438,NCCU,#c2c3c0,#880023,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2428.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2428.png']",Eagles,North Carolina Central
439,NOC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3071.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3071.png']",Cardinals,North Central
440,UND,#c2c3c0,#00A26B,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/155.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/155.png']",Fighting Hawks,North Dakota
441,NDSU,#ffffff,#01402A,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2449.png']",Bison,North Dakota State
442,NEO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/196.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/196.png']",RiverHawks,Northeastern State
443,NAU,#1b3069,#003976,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2464.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2464.png']",Lumberjacks,Northern Arizona
444,UNCO,#ffc533,#13558D,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2458.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2458.png']",Bears,Northern Colorado
